iso3,country,region,year,hdi,gnipc,log_gnipc,hdi_pred,residual
UZB,Uzbekistan,ECA,2022,0.737,8497.040961,9.047473259634502,0.68063703792108,0.05636296207892
VUT,Vanuatu,EAP,2022,0.621,3457.862708,8.148405962736728,0.5708765989541962,0.05012340104580382
VEN,Venezuela (Bolivarian Republic of),LAC,2022,0.706,6785.11,8.82248578437042,0.653169990535144,0.05283000946485594
VNM,Viet Nam,EAP,2022,0.764,12490.12898,9.432693929727632,0.727665764240492,0.036334235759508005
YEM,Yemen,AS,2022,0.466,1069.82396,6.975249390556012,0.4276546390589282,0.03834536094107183
ZMB,Zambia,SSA,2022,0.589,3345.773032,8.11545304661005,0.5668536225298693,0.022146377470130707
ZWE,Zimbabwe,SSA,2022,0.594,3351.026955,8.11702213157246,0.5670451804419908,0.026954819558009158
ZZA.VHHD,Very high human development,,2022,0.908,52403.01093,10.866719329154526,0.9027352588977462,0.005264741102253834
ZZB.HHD,High human development,,2022,0.774,17653.14097,9.77866900516891,0.7699032878197232,0.004096712180276851
ZZC.MHD,Medium human development,,2022,0.649,7459.752032,8.917277452967072,0.6647424002885318,-0.0157424002885318
ZZD.LHD,Low human development,,2022,0.512,3041.140878,8.019988012812822,0.5551990066276701,-0.04319900662767007
ZZE.AS,Arab States,,2022,0.716,15865.76299,9.671918795517673,0.7568709487372587,-0.04087094873725872
ZZF.EAP,East Asia and the Pacific,,2022,0.773,18575.5359,9.829600719775442,0.7761211620231765,-0.0031211620231764714
ZZG.ECA,Europe and Central Asia,,2022,0.815,22154.29131,10.005786495308834,0.7976303728786847,0.01736962712131529
ZZH.LAC,Latin America and the Caribbean,,2022,0.778,17759.40837,9.784670703491287,0.7706359905269442,0.007364009473055821
ZZI.SA,South Asia,,2022,0.665,8279.131622,9.021493365309325,0.6774653458627835,-0.012465345862783472
ZZJ.SSA,Sub-Saharan Africa,,2022,0.565,4304.782512,8.367481895725033,0.597621950114055,-0.032621950114055
ZZK.WORLD,World,,2022,0.752,19878.96887,9.897417611159153,0.7844004218664937,-0.03240042186649372
