iso3,country,region,year,hdi,GNI_pc,population,HDI_category
NPL,Nepal,SA,2004,0.493,2514.449086,26016656.0,Low
PAK,Pakistan,SA,2004,0.472,3807.67998,171286000.0,Low
LKA,Sri Lanka,SA,2004,0.695,7204.864517,20087605.0,Medium
TUR,Türkiye,ECA,2004,0.696,16878.0582,68592617.0,Medium
BGD,Bangladesh,SA,2005,0.52,2854.814123,144715786.0,Low
BTN,Bhutan,SA,2005,,6686.193364,661865.5,Low
CHN,China,EAP,2005,0.654,6122.469122,1310027136.0,Medium
IND,India,SA,2005,0.547,3859.176262,1154676322.0,Low
KGZ,Kyrgyzstan,ECA,2005,0.648,4057.328509,5246332.0,Medium
NPL,Nepal,SA,2005,0.5,2589.000164,26309458.0,Low
PAK,Pakistan,SA,2005,0.48,3998.709941,175453212.5,Low
LKA,Sri Lanka,SA,2005,0.721,7567.932088,20216524.5,High
TUR,Türkiye,ECA,2005,0.701,18138.17823,69329556.5,High
BGD,Bangladesh,SA,2006,0.527,3024.238334,146405973.5,Low
BTN,Bhutan,SA,2006,,7028.020844,670799.5,Low
CHN,China,EAP,2006,0.666,6897.881656,1318054036.0,Medium
IND,India,SA,2006,0.557,4104.613146,1172878890.0,Medium
KGZ,Kyrgyzstan,ECA,2006,0.652,4243.377846,5282452.5,Medium
NPL,Nepal,SA,2006,0.512,2664.657164,26565424.5,Low
PAK,Pakistan,SA,2006,0.489,4153.821261,179682690.0,Low
LKA,Sri Lanka,SA,2006,0.724,8056.983173,20352411.0,High
TUR,Türkiye,ECA,2006,0.711,19196.10294,70045349.5,High
BGD,Bangladesh,SA,2007,0.534,3282.015772,147989278.0,Low
BTN,Bhutan,SA,2007,,7981.508146,678641.0,Low
CHN,China,EAP,2007,0.68,7871.058643,1325813582.0,Medium
IND,India,SA,2007,0.566,4370.339973,1190676021.0,Medium
KGZ,Kyrgyzstan,ECA,2007,0.658,4570.985372,5313368.0,Medium
NPL,Nepal,SA,2007,0.516,2742.245562,26788492.0,Low
PAK,Pakistan,SA,2007,0.495,4233.662973,184493230.5,Low
LKA,Sri Lanka,SA,2007,0.729,8539.355612,20492545.0,High
TUR,Türkiye,ECA,2007,0.719,19894.66125,70750586.0,High
BGD,Bangladesh,SA,2008,0.538,3546.190048,149474263.5,Low
BTN,Bhutan,SA,2008,,8143.522119,686351.5,Low
CHN,China,EAP,2008,0.689,8620.652308,1333821016.0,Medium
IND,India,SA,2008,0.574,4434.020468,1207930964.0,Medium
KGZ,Kyrgyzstan,ECA,2008,0.666,4899.276328,5342519.5,Medium
