Year,Indicator,Value,Scenario
2035,Life_expectancy,74.0015,Scenario A (Entry)
2035,Expected_years_schooling,13.477270125,Scenario A (Entry)
2035,Mean_years_schooling,8.440000057,Scenario A (Entry)
2035,GNI_per_capita,14492.082263782524,Scenario A (Entry)
2035,HDI,0.742581792553341,Scenario A (Entry)
2036,Life_expectancy,74.16804166666667,Scenario A (Entry)
2036,Expected_years_schooling,13.520830947916668,Scenario A (Entry)
2036,Mean_years_schooling,8.57000005225,Scenario A (Entry)
2036,GNI_per_capita,15072.453362663031,Scenario A (Entry)
2036,HDI,0.7473888424253889,Scenario A (Entry)
2037,Life_expectancy,74.33458333333333,Scenario A (Entry)
2037,Expected_years_schooling,13.564391770833334,Scenario A (Entry)
2037,Mean_years_schooling,8.7000000475,Scenario A (Entry)
2037,GNI_per_capita,15676.06685047598,Scenario A (Entry)
2037,HDI,0.7521916491068809,Scenario A (Entry)
2038,Life_expectancy,74.501125,Scenario A (Entry)
2038,Expected_years_schooling,13.60795259375,Scenario A (Entry)
2038,Mean_years_schooling,8.830000042750001,Scenario A (Entry)
2038,GNI_per_capita,16303.853525885066,Scenario A (Entry)
2038,HDI,0.7569902799529356,Scenario A (Entry)
2039,Life_expectancy,74.66766666666666,Scenario A (Entry)
2039,Expected_years_schooling,13.651513416666667,Scenario A (Entry)
2039,Mean_years_schooling,8.960000038,Scenario A (Entry)
2039,GNI_per_capita,16956.781463677147,Scenario A (Entry)
2039,HDI,0.7617848008201957,Scenario A (Entry)
2040,Life_expectancy,74.83420833333334,Scenario A (Entry)
2040,Expected_years_schooling,13.695074239583334,Scenario A (Entry)
2040,Mean_years_schooling,9.09000003325,Scenario A (Entry)
2040,GNI_per_capita,17635.85750757633,Scenario A (Entry)
2040,HDI,0.7665752761103517,Scenario A (Entry)
2041,Life_expectancy,75.00075,Scenario A (Entry)
2041,Expected_years_schooling,13.7386350625,Scenario A (Entry)
2041,Mean_years_schooling,9.2200000285,Scenario A (Entry)
2041,GNI_per_capita,18342.128822841456,Scenario A (Entry)
2041,HDI,0.7713617688120925,Scenario A (Entry)
2042,Life_expectancy,75.16729166666667,Scenario A (Entry)
2042,Expected_years_schooling,13.782195885416666,Scenario A (Entry)
2042,Mean_years_schooling,9.350000023749999,Scenario A (Entry)
2042,GNI_per_capita,19076.684511041214,Scenario A (Entry)
2042,HDI,0.7761443405415528,Scenario A (Entry)
2043,Life_expectancy,75.33383333333333,Scenario A (Entry)
2043,Expected_years_schooling,13.825756708333333,Scenario A (Entry)
2043,Mean_years_schooling,9.480000019,Scenario A (Entry)
2043,GNI_per_capita,19840.657289496867,Scenario A (Entry)
2043,HDI,0.7809230515813185,Scenario A (Entry)
2044,Life_expectancy,75.500375,Scenario A (Entry)
2044,Expected_years_schooling,13.869317531250001,Scenario A (Entry)
2044,Mean_years_schooling,9.61000001425,Scenario A (Entry)
2044,GNI_per_capita,20635.225237982366,Scenario A (Entry)
2044,HDI,0.7856979609180545,Scenario A (Entry)
2045,Life_expectancy,75.66691666666667,Scenario A (Entry)
2045,Expected_years_schooling,13.912878354166667,Scenario A (Entry)
2045,Mean_years_schooling,9.740000009500001,Scenario A (Entry)
2045,GNI_per_capita,21461.613615375467,Scenario A (Entry)
2045,HDI,0.7904691262788135,Scenario A (Entry)
2046,Life_expectancy,75.83345833333334,Scenario A (Entry)
2046,Expected_years_schooling,13.956439177083332,Scenario A (Entry)
2046,Mean_years_schooling,9.87000000475,Scenario A (Entry)
2046,GNI_per_capita,22321.096749061002,Scenario A (Entry)
2046,HDI,0.7952366041660786,Scenario A (Entry)
2047,Life_expectancy,76.0,Scenario A (Entry)
2047,Expected_years_schooling,14.0,Scenario A (Entry)
2047,Mean_years_schooling,10.0,Scenario A (Entry)
2047,GNI_per_capita,23215.0,Scenario A (Entry)
2047,HDI,0.800000449891596,Scenario A (Entry)
2024,Life_expectancy,72.41954166666666,Scenario B (Convergence)
2024,Expected_years_schooling,13.102267739583334,Scenario B (Convergence)
2024,Mean_years_schooling,7.114166775916667,Scenario B (Convergence)
2024,GNI_per_capita,9738.42289282856,Scenario B (Convergence)
2024,HDI,0.694702152593297,Scenario B (Convergence)
2025,Life_expectancy,72.83608333333333,Scenario B (Convergence)
2025,Expected_years_schooling,13.249995229166668,Scenario B (Convergence)
2025,Mean_years_schooling,7.348333437833333,Scenario B (Convergence)
2025,GNI_per_capita,10482.970571693239,Scenario B (Convergence)
2025,HDI,0.704847793756168,Scenario B (Convergence)
2026,Life_expectancy,73.252625,Scenario B (Convergence)
2026,Expected_years_schooling,13.39772271875,Scenario B (Convergence)
2026,Mean_years_schooling,7.582500099750001,Scenario B (Convergence)
2026,GNI_per_capita,11284.442380081091,Scenario B (Convergence)
2026,HDI,0.7149770326693085,Scenario B (Convergence)
2027,Life_expectancy,73.66916666666667,Scenario B (Convergence)
2027,Expected_years_schooling,13.545450208333333,Scenario B (Convergence)
2027,Mean_years_schooling,7.816666761666667,Scenario B (Convergence)
2027,GNI_per_capita,12147.190432187015,Scenario B (Convergence)
2027,HDI,0.7250904927237598,Scenario B (Convergence)
2028,Life_expectancy,74.08570833333333,Scenario B (Convergence)
2028,Expected_years_schooling,13.693177697916667,Scenario B (Convergence)
2028,Mean_years_schooling,8.050833423583335,Scenario B (Convergence)
2028,GNI_per_capita,13075.899581557831,Scenario B (Convergence)
2028,HDI,0.7351887644530749,Scenario B (Convergence)
2029,Life_expectancy,74.50225,Scenario B (Convergence)
2029,Expected_years_schooling,13.8409051875,Scenario B (Convergence)
2029,Mean_years_schooling,8.2850000855,Scenario B (Convergence)
2029,GNI_per_capita,14075.612860561756,Scenario B (Convergence)
2029,HDI,0.7452724077721046,Scenario B (Convergence)
2030,Life_expectancy,74.91879166666666,Scenario B (Convergence)
2030,Expected_years_schooling,13.988632677083334,Scenario B (Convergence)
2030,Mean_years_schooling,8.519166747416667,Scenario B (Convergence)
2030,GNI_per_capita,15151.758864823558,Scenario B (Convergence)
2030,HDI,0.7553419540278068,Scenario B (Convergence)
2031,Life_expectancy,75.33533333333334,Scenario B (Convergence)
2031,Expected_years_schooling,14.136360166666668,Scenario B (Convergence)
2031,Mean_years_schooling,8.753333409333333,Scenario B (Convergence)
2031,GNI_per_capita,16310.181231326995,Scenario B (Convergence)
2031,HDI,0.7653979078808549,Scenario B (Convergence)
2032,Life_expectancy,75.751875,Scenario B (Convergence)
2032,Expected_years_schooling,14.284087656250001,Scenario B (Convergence)
2032,Mean_years_schooling,8.98750007125,Scenario B (Convergence)
2032,GNI_per_capita,17557.17037025518,Scenario B (Convergence)
2032,HDI,0.7754407490346428,Scenario B (Convergence)
2033,Life_expectancy,76.16841666666667,Scenario B (Convergence)
2033,Expected_years_schooling,14.431815145833333,Scenario B (Convergence)
2033,Mean_years_schooling,9.221666733166668,Scenario B (Convergence)
2033,GNI_per_capita,18899.497622877534,Scenario B (Convergence)
2033,HDI,0.7854709338264062,Scenario B (Convergence)
2034,Life_expectancy,76.58495833333333,Scenario B (Convergence)
2034,Expected_years_schooling,14.579542635416667,Scenario B (Convergence)
2034,Mean_years_schooling,9.455833395083333,Scenario B (Convergence)
2034,GNI_per_capita,20344.452030965975,Scenario B (Convergence)
2034,HDI,0.7954888966935346,Scenario B (Convergence)
2035,Life_expectancy,77.0015,Scenario B (Convergence)
2035,Expected_years_schooling,14.727270125,Scenario B (Convergence)
2035,Mean_years_schooling,9.690000057,Scenario B (Convergence)
2035,GNI_per_capita,21899.87991740375,Scenario B (Convergence)
2035,HDI,0.805495051526711,Scenario B (Convergence)
2036,Life_expectancy,77.41804166666667,Scenario B (Convergence)
2036,Expected_years_schooling,14.874997614583334,Scenario B (Convergence)
2036,Mean_years_schooling,9.924166718916666,Scenario B (Convergence)
2036,GNI_per_capita,23574.22749291576,Scenario B (Convergence)
2036,HDI,0.815489792920262,Scenario B (Convergence)
2037,Life_expectancy,77.83458333333333,Scenario B (Convergence)
2037,Expected_years_schooling,15.022725104166668,Scenario B (Convergence)
2037,Mean_years_schooling,10.158333380833334,Scenario B (Convergence)
2037,GNI_per_capita,25376.586720281404,Scenario B (Convergence)
2037,HDI,0.8254734973289988,Scenario B (Convergence)
2038,Life_expectancy,78.251125,Scenario B (Convergence)
2038,Expected_years_schooling,15.17045259375,Scenario B (Convergence)
2038,Mean_years_schooling,10.392500042750001,Scenario B (Convergence)
2038,GNI_per_capita,27316.744685079535,Scenario B (Convergence)
2038,HDI,0.8354465241398575,Scenario B (Convergence)
2039,Life_expectancy,78.66766666666666,Scenario B (Convergence)
2039,Expected_years_schooling,15.318180083333333,Scenario B (Convergence)
2039,Mean_years_schooling,10.626666704666667,Scenario B (Convergence)
2039,GNI_per_capita,29405.23674105633,Scenario B (Convergence)
2039,HDI,0.845409216665794,Scenario B (Convergence)
2040,Life_expectancy,79.08420833333334,Scenario B (Convergence)
2040,Expected_years_schooling,15.465907572916667,Scenario B (Convergence)
2040,Mean_years_schooling,10.860833366583334,Scenario B (Convergence)
2040,GNI_per_capita,31653.40371870346,Scenario B (Convergence)
2040,HDI,0.8553619030686347,Scenario B (Convergence)
2041,Life_expectancy,79.50075,Scenario B (Convergence)
2041,Expected_years_schooling,15.6136350625,Scenario B (Convergence)
2041,Mean_years_schooling,11.0950000285,Scenario B (Convergence)
2041,GNI_per_capita,34073.453507697785,Scenario B (Convergence)
2041,HDI,0.8653048972169088,Scenario B (Convergence)
2042,Life_expectancy,79.91729166666667,Scenario B (Convergence)
2042,Expected_years_schooling,15.761362552083334,Scenario B (Convergence)
2042,Mean_years_schooling,11.329166690416667,Scenario B (Convergence)
2042,GNI_per_capita,36678.52734760487,Scenario B (Convergence)
2042,HDI,0.8752384994841093,Scenario B (Convergence)
2043,Life_expectancy,80.33383333333333,Scenario B (Convergence)
2043,Expected_years_schooling,15.909090041666667,Scenario B (Convergence)
2043,Mean_years_schooling,11.563333352333334,Scenario B (Convergence)
2043,GNI_per_capita,39482.77118681465,Scenario B (Convergence)
2043,HDI,0.8851629974922844,Scenario B (Convergence)
2044,Life_expectancy,80.750375,Scenario B (Convergence)
2044,Expected_years_schooling,16.05681753125,Scenario B (Convergence)
2044,Mean_years_schooling,11.79750001425,Scenario B (Convergence)
2044,GNI_per_capita,42501.41249719932,Scenario B (Convergence)
2044,HDI,0.8950786668054124,Scenario B (Convergence)
2045,Life_expectancy,81.16691666666667,Scenario B (Convergence)
2045,Expected_years_schooling,16.204545020833333,Scenario B (Convergence)
2045,Mean_years_schooling,12.031666676166665,Scenario B (Convergence)
2045,GNI_per_capita,45750.84296160882,Scenario B (Convergence)
2045,HDI,0.9049857715765757,Scenario B (Convergence)
2046,Life_expectancy,81.58345833333334,Scenario B (Convergence)
2046,Expected_years_schooling,16.352272510416668,Scenario B (Convergence)
2046,Mean_years_schooling,12.265833338083333,Scenario B (Convergence)
2046,GNI_per_capita,49248.70748320945,Scenario B (Convergence)
2046,HDI,0.9148845651525934,Scenario B (Convergence)
2047,Life_expectancy,82.0,Scenario B (Convergence)
2047,Expected_years_schooling,16.5,Scenario B (Convergence)
2047,Mean_years_schooling,12.5,Scenario B (Convergence)
2047,GNI_per_capita,53014.0,Scenario B (Convergence)
2047,HDI,0.9247752906394244,Scenario B (Convergence)
